id,device_id,tenant_id,created_at
1,webserver-acme-001,1,2025-05-11 06:30:34.935278
2,database-acme-002,1,2025-05-11 06:30:34.935278
3,firewall-acme-003,1,2025-05-11 06:30:34.935278
4,app-acme-004,1,2025-05-11 06:30:34.935278
5,backup-acme-005,1,2025-05-11 06:30:34.935278
6,webserver-tech-001,2,2025-05-11 06:30:34.935278
7,database-tech-002,2,2025-05-11 06:30:34.935278
8,firewall-tech-003,2,2025-05-11 06:30:34.935278
9,app-tech-004,2,2025-05-11 06:30:34.935278
10,backup-tech-005,2,2025-05-11 06:30:34.935278
11,webserver-global-001,3,2025-05-11 06:30:34.935278
12,database-global-002,3,2025-05-11 06:30:34.935278
13,firewall-global-003,3,2025-05-11 06:30:34.935278
14,app-global-004,3,2025-05-11 06:30:34.935278
15,backup-global-005,3,2025-05-11 06:30:34.935278
16,webserver-health-001,4,2025-05-11 06:30:34.935278
17,database-health-002,4,2025-05-11 06:30:34.935278
18,firewall-health-003,4,2025-05-11 06:30:34.935278
19,app-health-004,4,2025-05-11 06:30:34.935278
20,backup-health-005,4,2025-05-11 06:30:34.935278
21,webserver-edu-001,5,2025-05-11 06:30:34.935278
22,database-edu-002,5,2025-05-11 06:30:34.935278
23,firewall-edu-003,5,2025-05-11 06:30:34.935278
24,app-edu-004,5,2025-05-11 06:30:34.935278
25,backup-edu-005,5,2025-05-11 06:30:34.935278
26,webserver-retail-001,6,2025-05-11 06:30:34.935278
27,database-retail-002,6,2025-05-11 06:30:34.935278
28,firewall-retail-003,6,2025-05-11 06:30:34.935278
29,app-retail-004,6,2025-05-11 06:30:34.935278
30,backup-retail-005,6,2025-05-11 06:30:34.935278
31,webserver-fin-001,7,2025-05-11 06:30:34.935278
32,database-fin-002,7,2025-05-11 06:30:34.935278
33,firewall-fin-003,7,2025-05-11 06:30:34.935278
34,app-fin-004,7,2025-05-11 06:30:34.935278
35,backup-fin-005,7,2025-05-11 06:30:34.935278
36,webserver-logi-001,8,2025-05-11 06:30:34.935278
37,database-logi-002,8,2025-05-11 06:30:34.935278
38,firewall-logi-003,8,2025-05-11 06:30:34.935278
39,app-logi-004,8,2025-05-11 06:30:34.935278
40,backup-logi-005,8,2025-05-11 06:30:34.935278
41,webserver-media-001,9,2025-05-11 06:30:34.935278
42,database-media-002,9,2025-05-11 06:30:34.935278
43,firewall-media-003,9,2025-05-11 06:30:34.935278
44,app-media-004,9,2025-05-11 06:30:34.935278
45,backup-media-005,9,2025-05-11 06:30:34.935278
46,webserver-energy-001,10,2025-05-11 06:30:34.935278
47,database-energy-002,10,2025-05-11 06:30:34.935278
48,firewall-energy-003,10,2025-05-11 06:30:34.935278
49,app-energy-004,10,2025-05-11 06:30:34.935278
50,backup-energy-005,10,2025-05-11 06:30:34.935278
